Ensembl	GeneSymbol	SigI	Normal	SigII	pIvsN	pIIvsN	pIvsII
ENSG00000182208.14	MOB2	8.4804	5.69385	5.45665	3.33551744857e-13	0.0660755679122	4.03350437591e-22
ENSG00000178904.19	DPY19L3	2.3933	3.5101	3.3044	3.51271397995e-11	0.97512047515	1.08140766102e-11
ENSG00000166391.15	MOGAT2	0.0106	0.3295	0.0052	1.90365712433e-14	2.36824152915e-16	0.0514416304436
ENSG00000118900.15	UBN1	5.768	6.5629	7.49665	0.000429417791278	0.00141626033794	4.71379905886e-12
ENSG00000103227.19	LMF1	3.2359	1.9864	1.7837	2.56831519321e-12	0.766351419717	2.09608605592e-16
ENSG00000070087.14	PFN2	18.0293	46.06235	15.8487	0.0142885059464	0.000124037880402	0.680887925567
ENSG00000205560.13	CPT1B	0.1322	0.0234	0.0874	1.67709947091e-08	4.11367091124e-09	0.00305028348911
ENSG00000175854.14	SWI5	8.3626	6.95605	4.97395	0.000850998163724	2.26492321281e-08	3.20118547021e-12
ENSG00000128872.10	TMOD2	1.8891	2.16045	4.356	0.871497372127	3.15451896819e-15	1.55395103283e-25
ENSG00000187790.11	FANCM	0.5071	0.7129	0.79215	6.29493471854e-07	0.00578820909364	6.74898331029e-12
ENSG00000153561.13	RMND5A	8.8976	16.43715	14.8277	4.01776870562e-50	0.0220310387512	2.0753895669e-36
ENSG00000181004.10	BBS12	3.7986	6.41505	4.75665	8.4585902996e-12	5.58340667312e-07	0.00395837343036
ENSG00000206069.6	TMEM211	0.0657	0.04495	0.07525	0.00072202197874	0.000200064112575	0.0779944788049
ENSG00000142528.16	ZNF473	1.4205	1.2177	1.66725	4.65199890582e-07	8.61087213164e-19	2.16907751888e-05
ENSG00000134198.10	TSPAN2	2.0683	5.01895	2.5881	0.000161772106232	5.47322126584e-07	0.824512486637
ENSG00000168005.9	C11orf84	7.1991	3.619	4.38855	1.83367085739e-19	0.000154741228582	3.325918407e-18
ENSG00000214128.11	TMEM213	0.0439	74.53095	0.04105	6.0159022822e-18	4.44606720188e-06	0.146180849226
ENSG00000116783.15	TNNI3K	0.0128	0.0122	0.01085	0.20512566148	0.697742533222	0.623797075346
ENSG00000104833.12	TUBB4A	0.5496	0.81105	0.47035	0.203700600652	0.129244231567	0.638629010929
ENSG00000173875.14	ZNF791	5.526	5.721	6.4634	0.988448123589	2.50809447615e-06	1.14010157245e-06
ENSG00000138356.14	AOX1	8.1353	26.17115	9.7321	1.55736418786e-10	2.77238556459e-07	0.265228659153
ENSG00000177034.17	MTX3	2.7316	4.51585	4.4237	3.00796208534e-26	0.0634736803172	6.76858921747e-19
ENSG00000107317.13	PTGDS	0.2535	0.6395	0.1036	0.399546859957	4.38653075455e-14	0.0529180398467
ENSG00000164078.13	MST1R	0.2901	0.4116	0.2636	0.956604699703	0.000185923560987	0.0200796501465
ENSG00000006695.12	COX10	2.1482	3.4163	2.22045	5.60771465806e-24	2.56046634884e-14	0.0676222437357
ENSG00000108106.14	UBE2S	4.1148	1.6582	1.47845	5.30664118204e-10	0.299250697446	1.09412905487e-15
ENSG00000134326.11	CMPK2	2.1447	1.51555	3.38635	0.000459624976413	2.95662767421e-12	1.4244055023e-06
ENSG00000166292.12	TMEM100	1.0793	0.6978	0.9697	0.00615869776472	0.0615821292749	0.772793634053
ENSG00000185933.7	CALHM1	0.0108	0.0078	0.0086	0.00129460981314	0.0120588881667	0.0588012190924
ENSG00000145536.15	ADAMTS16	0.2368	3.57735	0.3382	1.35230104411e-33	7.31753023832e-28	0.959558594512
ENSG00000203724.11	C1orf53	2.2455	3.00385	0.77695	0.507593962992	2.81210649112e-07	0.0401657591417
ENSG00000119487.17	MAPKAP1	8.0227	11.80205	7.9776	1.63715828723e-11	9.56125317497e-10	0.940159684641
ENSG00000095587.9	TLL2	0.0717	0.10675	0.0439	0.515114825957	6.50321767081e-08	0.00402409959276
ENSG00000123838.11	C4BPA	0.0657	0.0635	0.02655	0.393619435862	0.476711351822	0.29006077663
ENSG00000105732.13	ZNF574	5.0176	3.75925	3.63455	1.81305228021e-14	0.266754400666	1.72228580832e-20
ENSG00000198242.14	RPL23A	76.4996	37.632	55.4725	1.58258656948e-21	3.73567049767e-10	4.68500991692e-12
ENSG00000175497.17	DPP10	0.0028	0.0849	0.0022	0.0604670446449	0.130211469316	0.616073280683
ENSG00000008517.18	IL32	134.0896	15.24425	53.8521	1.1713177722e-22	9.6577886708e-13	1.90817548813e-21
ENSG00000088854.12	C20orf194	4.1536	7.64295	6.5568	1.52146873913e-38	0.00522510898793	1.56681016398e-26
ENSG00000148730.7	EIF4EBP2	29.647	43.0516	48.33815	8.82919793389e-17	0.449562087931	8.91824359559e-25
ENSG00000134324.12	LPIN1	1.6854	3.54265	2.11475	5.08287800028e-21	2.35203086156e-07	0.00222166227118
ENSG00000146592.17	CREB5	3.5611	1.1805	4.51145	1.30784409838e-12	1.63671524011e-19	0.00298791547805
ENSG00000084693.16	AGBL5	9.7248	10.65585	7.7669	0.830199964079	4.11724927355e-09	1.19416549634e-05
ENSG00000180383.3	DEFB124	0.0404	0.02285	0.03195	0.000106818989824	0.00709442081608	0.0425545263267
ENSG00000070081.17	NUCB2	10.3237	5.71825	8.43385	1.09436718617e-19	3.64343763678e-06	0.252296676961
ENSG00000088179.9	PTPN4	1.5139	4.15375	2.45135	2.78122732392e-58	4.64526390859e-13	6.08847594754e-21
ENSG00000183401.12	CCDC159	6.1266	2.8875	3.01835	2.51177724408e-18	0.0900176216972	1.18230719636e-22
ENSG00000162441.12	LZIC	7.3691	11.50545	9.17105	6.79970684455e-35	2.56202216067e-15	5.63965112633e-10
ENSG00000154258.17	ABCA9	0.1781	0.41365	0.2088	0.000243889582091	0.000693003947644	0.825179690368
ENSG00000112309.11	B3GAT2	0.0697	0.02975	0.07535	1.55179695751e-08	0.000671410341053	0.128705568641
ENSG00000203883.7	SOX18	16.5257	7.6797	8.94845	3.34983772452e-09	0.0158617608602	5.72615704768e-08
ENSG00000196323.14	ZBTB44	6.7371	12.84175	11.27205	4.0639163772e-43	0.00828252967503	2.78725274763e-26
ENSG00000171848.16	RRM2	1.584	0.2287	1.0625	1.65075751968e-07	7.93877037419e-09	0.00278248613511
ENSG00000170006.12	TMEM154	0.3445	0.27565	0.48835	0.850490809396	0.0510786635257	0.00121339485492
ENSG00000158480.11	SPATA2	4.7966	4.66865	4.2218	0.0112457315851	0.00607513258022	1.06135400244e-07
ENSG00000117054.14	ACADM	10.86	47.7406	20.82265	2.12111035957e-39	2.84591083084e-20	8.17510177388e-14
ENSG00000196159.14	FAT4	1.1318	2.06385	2.78525	2.26826376237e-16	0.000256457214826	1.65683408541e-23
ENSG00000087502.18	ERGIC2	6.0649	5.8743	7.32345	0.32053589122	6.01369225586e-06	1.56109677498e-07
ENSG00000159231.6	CBR3	1.328	0.4608	0.7253	1.56978907126e-11	0.0357395779196	0.0122557825959
ENSG00000183763.9	TRAIP	0.7187	0.3903	0.4472	1.60417455141e-09	0.0105157757208	5.44841880105e-11
ENSG00000174567.8	GOLT1A	6.6658	6.2227	2.66915	0.0226502977452	0.00762641473388	0.000123039632982
ENSG00000130559.19	CAMSAP1	3.7872	3.83985	5.5862	0.637005078236	1.2129831461e-18	1.2366356918e-21
ENSG00000113209.9	PCDHB5	0.7877	2.9954	0.94875	0.046985897966	0.014505293671	0.966555927549
ENSG00000164292.13	RHOBTB3	3.01	14.71215	5.5851	3.16051625519e-22	3.19939918209e-18	0.0124852220542
ENSG00000188828.12	GLRA4	0.0085	0.003	0.01285	5.76909115232e-06	0.000296851306362	0.00648222851538
ENSG00000182463.16	TSHZ2	0.4782	0.56545	0.72835	0.483159186095	0.0360390650361	0.121773347843
ENSG00000009413.16	REV3L	1.5841	2.63175	3.3811	3.08051606836e-19	0.000228403762034	9.91642583318e-21
ENSG00000165312.6	OTUD1	9.9805	15.3768	12.41565	0.00883524889563	0.027642857412	0.20797129807
ENSG00000159618.16	GPR114	1.2803	2.1068	0.91645	0.37038206713	6.00820508172e-07	0.00132366944203
ENSG00000064225.12	ST3GAL6	1.7009	4.06835	1.65015	0.00764359077646	0.0920461292616	0.633393861951
ENSG00000097033.14	SH3GLB1	22.2434	20.05115	28.0094	0.135251534151	7.83521781908e-13	3.55654959531e-14
ENSG00000250571.7	GLI4	3.5814	1.10695	1.34805	5.18111412749e-11	0.00051923940256	4.12606792825e-13
ENSG00000134709.12	HOOK1	7.938	11.0521	15.69165	4.2853154989e-07	2.02193702915e-07	2.52947255444e-21
ENSG00000171759.10	PAH	0.5245	19.5409	0.8045	1.3356230918e-19	1.32337826285e-07	0.0826098509175
ENSG00000057294.15	PKP2	1.8178	2.6849	3.13215	0.417668508309	0.00732293958188	0.000841832964983
ENSG00000135709.12	KIAA0513	1.8721	2.4988	2.27665	0.000267151304835	0.0738500878408	0.0232772598644
ENSG00000108840.15	HDAC5	10.8654	10.5499	9.92205	0.178392884537	0.264454485277	0.010122594083
ENSG00000145850.9	TIMD4	4.1133	1.41135	4.0275	4.83965637682e-05	0.000556459196324	0.15295535225
ENSG00000180447.7	GAS1	0.9727	5.9426	0.8856	0.00180022208214	6.55989850348e-29	0.303866831602
ENSG00000153914.16	SREK1	4.3017	3.85985	4.962	0.00240211287324	4.88308904336e-06	0.121021893647
ENSG00000184634.16	MED12	7.9198	7.7922	9.27865	0.798762619032	0.00212263194842	0.000424750419294
ENSG00000167768.4	KRT1	0.0491	0.0212	0.0714	0.354768343321	0.46271886614	0.674195808331
ENSG00000054598.9	FOXC1	4.0998	21.02075	4.7296	1.31281174873e-52	1.86852722499e-39	0.0646601804755
ENSG00000158552.13	ZFAND2B	15.4239	7.90455	7.87065	8.92648441263e-10	0.803427169192	2.03018506468e-14
ENSG00000120471.15	TP53AIP1	0.039	0.1811	0.0202	0.0304198418618	0.681964407887	0.618361460685
ENSG00000148840.11	PPRC1	6.0056	4.62855	5.71675	3.48148452757e-05	0.000161396575224	0.903432261547
ENSG00000179088.15	C12orf42	0.0275	0.0126	0.02285	0.000122033952276	0.000303618490976	0.7148551185
ENSG00000054356.14	PTPRN	0.2994	0.0078	0.16225	0.173518854225	0.102355849627	0.175008183617
ENSG00000177981.11	ASB8	10.144	13.69805	11.17765	5.01616608859e-10	2.58531627315e-10	0.0530243955189
ENSG00000170577.8	SIX2	0.2415	0.4179	0.08425	0.712361951125	1.3474703163e-08	0.0946635494081
ENSG00000173531.15	MST1	4.757	1.79175	2.12985	1.7053010712e-08	0.965256878132	1.0537416842e-11
ENSG00000140577.16	CRTC3	6.1374	4.97585	6.88435	1.60123215824e-07	1.33607513172e-13	0.000222521912596
ENSG00000169093.16	ASMTL	8.9339	9.32075	7.0576	0.80289048644	4.17029859933e-08	1.63695886345e-08
ENSG00000101194.18	SLC17A9	2.0604	0.1757	0.86745	1.85758175879e-05	9.86494351434e-09	4.31844427723e-05
ENSG00000187210.14	GCNT1	0.6758	0.5404	0.774	0.0113259551304	0.000586297549931	0.00507567088734
ENSG00000122859.5	NEUROG3	0.0182	0.0086	0.01	0.00177903653638	0.229188711984	0.353772047209
ENSG00000137868.19	STRA6	0.0885	1.2793	0.0433	7.29872882874e-19	2.07329922155e-17	0.0321142965796
ENSG00000152332.16	UHMK1	12.0385	24.3492	20.2097	4.08447014168e-43	0.869973841188	5.27769442208e-17
ENSG00000111684.11	LPCAT3	3.7457	4.92465	5.8626	0.224365794146	0.000373628573042	2.71403630563e-06
ENSG00000196739.15	COL27A1	6.2586	1.8026	5.2666	3.08241463705e-12	1.48593699953e-14	0.00121940094841
ENSG00000008869.12	HEATR5B	4.6637	5.32245	7.48735	1.00052655035e-05	1.72066040073e-17	1.05672793735e-38
ENSG00000147679.12	UTP23	3.0006	3.58105	3.95945	0.0027259348376	0.000426545207334	3.06532479824e-11
ENSG00000172367.16	PDZD3	2.203	1.5426	0.98955	0.0260200608164	0.0013603222631	1.11948046428e-07
ENSG00000112394.17	SLC16A10	0.3171	1.7102	0.57735	4.70101354488e-29	4.68142000131e-05	8.63307769484e-05
ENSG00000198015.14	MRPL42	3.3397	3.86355	3.3444	0.00168795410262	0.870092464325	0.0402602307703
ENSG00000120662.16	MTRF1	2.566	2.3501	2.34175	0.0933540663893	0.374245153275	0.255959596066
ENSG00000134765.10	DSC1	0.0081	0.0179	0.01235	5.53447223783e-05	0.54804739045	0.0176478628111
ENSG00000134817.11	APLNR	13.5483	8.83395	20.23715	7.92598294998e-06	5.75851714277e-10	1.92377895469e-06
ENSG00000166260.13	COX11	6.6889	9.819	7.18925	8.36034200092e-15	0.000112143732858	0.00652188477698
ENSG00000064042.18	LIMCH1	6.2369	13.75695	12.45245	2.3783915594e-32	0.613276585722	7.19858771214e-19
ENSG00000197563.11	PIGN	1.1242	1.65265	1.7414	2.9379229053e-22	0.269918792817	1.20719922551e-23
ENSG00000138600.10	SPPL2A	8.7767	12.85455	10.497	4.32866631084e-15	0.00386334174173	2.85260699989e-07
ENSG00000213918.10	DNASE1	0.8152	5.3771	0.6532	0.0014517794411	3.40572452923e-20	0.347082504757
ENSG00000160256.13	FAM207A	11.0658	5.13935	5.5808	7.42433275034e-08	0.117624767477	1.52226396356e-09
ENSG00000187726.9	DNAJB13	0.6208	0.05145	0.2677	4.48818969174e-10	5.36509433803e-06	0.31972638816
ENSG00000175354.20	PTPN2	3.5846	2.3344	3.2111	8.68451001023e-18	1.02023529323e-10	0.187682951503
ENSG00000159348.13	CYB5R1	15.2908	18.3677	13.62145	0.119709841406	1.37584983591e-15	0.00689584016703
ENSG00000162616.9	DNAJB4	9.4779	12.56125	13.68915	5.57314090428e-05	0.0120318422859	4.02298079753e-11
ENSG00000178233.18	TMEM151B	0.0047	0.01255	0.005	0.81293568317	0.0755304767314	0.186607232123
ENSG00000165168.8	CYBB	9.9109	5.25955	26.40115	4.68370879435e-06	3.86152576911e-12	7.03742545678e-13
ENSG00000151746.15	BICD1	2.7879	1.72935	3.63335	5.97731145342e-07	1.80553142614e-13	0.00482008650462
ENSG00000171346.16	KRT15	0.1019	0.0172	0.0106	0.000226381320227	0.226472751656	2.27246420112e-05
ENSG00000214367.9	HAUS3	1.1384	0.91865	1.4598	4.9286708628e-08	8.13800025041e-17	4.87352868123e-10
ENSG00000164283.13	ESM1	80.0363	7.7128	110.5153	6.61458522622e-16	4.11404987846e-16	0.0143728838283
ENSG00000244411.4	KRTAP5-7	0.0411	0.01735	0.038	0.240004662926	0.0457927988433	0.946092602391
ENSG00000188277.10	C15orf62	0.6346	0.42345	0.58375	0.00207140583295	0.0570039854581	0.321569038196
ENSG00000171469.11	ZNF561	4.8353	6.0793	7.0096	0.000371385227795	3.70760501082e-07	2.89496208555e-15
ENSG00000154493.19	C10orf90	0.0101	0.022	0.0047	0.879188983755	0.201606382921	0.0991614384308
ENSG00000112659.14	CUL9	2.5167	2.84525	2.7659	0.846383910009	0.583669657204	0.511080029227
ENSG00000180596.7	HIST1H2BC	3.8346	2.6268	3.6489	0.000295524431693	0.0087289797365	0.318808131042
ENSG00000167617.3	CDC42EP5	8.0292	3.67635	3.5229	2.79893480042e-10	0.940567106347	4.35292342355e-15
ENSG00000140675.13	SLC5A2	0.0674	2.2748	0.03345	4.14028058884e-22	1.47937709256e-16	0.563846742088
ENSG00000157483.9	MYO1E	8.7826	11.2368	10.5867	6.63514907309e-06	0.420902777024	5.45424278398e-05
ENSG00000013392.8	RWDD2A	3.03	3.2133	3.3271	0.942436676825	0.62627337986	0.61292442285
ENSG00000105254.12	TBCB	24.0429	14.4514	11.94095	1.58227004886e-20	2.6473153314e-09	9.84141427019e-44
ENSG00000142347.19	MYO1F	5.4416	0.65975	3.88665	1.03242838877e-22	1.733849493e-19	8.75968191351e-05
ENSG00000164112.13	TMEM155	0.3656	0.0074	0.43145	3.64205521955e-11	8.04339623092e-13	0.727377618216
ENSG00000042429.12	MED17	0.3718	0.20075	0.33115	4.59339554912e-22	4.30217273592e-06	0.994426853989
ENSG00000099290.17	FAM21A	7.8865	8.98135	8.72905	0.00030882363102	0.170382492044	0.0137157527032
ENSG00000130204.13	TOMM40	18.9666	10.09685	9.2206	2.8233594199e-19	0.198493418593	5.76118845549e-29
ENSG00000188282.12	RUFY4	0.2088	0.00715	0.0926	0.000648979354269	1.09788567192e-07	0.00145717173543
ENSG00000187581.3	COX8C	0.0586	0.05615	0.04715	0.16411752977	0.924106262891	0.139592537331
ENSG00000171621.14	SPSB1	16.5736	4.81385	10.03435	1.71667991848e-11	2.04909450877e-06	1.49974342006e-06
ENSG00000152193.8	RNF219	3.3083	2.1524	3.39625	7.73518387797e-16	1.95468363459e-15	0.0358572170431
ENSG00000196240.4	OR2T2	0.0141	0.03395	0.02085	0.0119758025039	0.793612434636	0.0405991748812
ENSG00000149577.16	SIDT2	7.6825	5.4182	6.9047	5.82076145764e-16	1.40558878047e-10	0.000179998084735
ENSG00000240230.6	COX19	2.6732	1.47875	1.66445	7.06977318851e-22	1.02906608514e-05	1.70354591115e-17
ENSG00000121318.2	TAS2R10	0.1026	0.044	0.14565	7.49569869477e-07	6.48464554513e-05	0.00889573560827
ENSG00000146859.6	TMEM140	53.0176	17.1028	39.49085	2.79073716342e-25	5.64729305502e-24	2.20280404208e-05
ENSG00000111863.13	ADTRP	0.4492	2.17095	0.34845	2.885068457e-11	0.00157047339696	0.441454782757
ENSG00000205045.11	SLFN12L	0.2847	0.0241	0.22955	5.31406473475e-10	8.7112745537e-08	0.556716839938
ENSG00000248712.7	CCDC153	0.785	0.48175	0.35315	1.78769033206e-07	3.10579739586e-06	7.2946224274e-19
ENSG00000109618.12	SEPSECS	4.558	5.37735	6.3147	0.00128488367605	0.00417641650507	8.17858142591e-10
ENSG00000144339.12	TMEFF2	0.0092	0.02	0.008	0.517437195128	0.584222660882	0.949597661277
ENSG00000182870.13	GALNT9	0.8043	0.9167	0.71505	0.0206250334681	0.399313906025	0.0457556581947
ENSG00000183066.14	WBP2NL	0.1508	0.1698	0.1362	0.131851117424	0.283532397867	0.941044729532
ENSG00000119711.13	ALDH6A1	4.6707	47.9846	10.2721	1.23899681463e-29	1.75635949884e-20	4.01788749096e-10
ENSG00000116741.8	RGS2	15.9451	23.2867	11.3384	0.00297533523758	2.94289974834e-08	0.00150073110634
ENSG00000182899.17	RPL35A	195.0161	90.5225	110.26935	2.07401720749e-16	0.000175041511588	5.35357138758e-16
ENSG00000240583.13	AQP1	178.8918	354.8345	180.7499	3.01901849411e-07	4.10205989012e-18	0.0545691281392
ENSG00000100216.6	TOMM22	39.3488	31.91345	28.8214	0.000606296686612	0.0038798253197	1.19480278041e-07
ENSG00000153015.16	CWC27	5.667	6.3354	6.45135	0.0471151090394	0.00953893121659	4.84740817688e-06
ENSG00000148297.16	MED22	4.2702	5.5584	4.54735	7.61135287372e-06	9.57551486752e-09	0.598196434886
ENSG00000069869.16	NEDD4	3.1977	2.951	5.79695	0.208685489628	3.43869879494e-16	3.57893041564e-20
ENSG00000196544.8	C17orf59	5.3	3.5913	2.61795	0.00130756751085	5.77967015807e-16	5.84523661229e-09
ENSG00000115204.15	MPV17	16.1883	7.2864	9.08615	8.39815452652e-35	3.99357328404e-08	4.47042458836e-35
ENSG00000144591.19	GMPPA	11.9547	5.16035	6.2672	8.37494306256e-25	2.15868884627e-05	1.82513797337e-27
ENSG00000126231.15	PROZ	0.1073	1.7038	0.0664	1.69103525348e-15	7.72857366185e-14	0.298915408015
ENSG00000092108.22	SCFD1	1.6455	1.79795	1.7844	0.0385232442849	0.0694013176858	0.000285412902841
ENSG00000145107.16	TM4SF19	0.0818	0.0086	0.0457	0.0143060766002	0.152907249802	0.179470387615
ENSG00000144031.12	ANKRD53	0.846	0.36155	0.6196	5.8074961407e-10	3.45660788225e-07	0.000716560012851
ENSG00000162600.12	OMA1	2.6475	5.7716	2.8674	3.33241040003e-49	7.92194539314e-21	0.00380251034514
ENSG00000029639.11	TFB1M	2.306	2.07725	1.8821	0.00161633521939	0.0113041123088	3.62643119955e-08
ENSG00000076944.16	STXBP2	8.8867	4.01105	4.04605	4.2890830777e-23	0.858794415622	1.32492402281e-31
ENSG00000030066.13	NUP160	5.9487	7.18625	9.868	0.000115328810777	4.64382567976e-23	1.11898951334e-38
ENSG00000141401.12	IMPA2	39.123	54.70055	49.11605	0.0833913196425	0.789043451929	0.0975804201631
ENSG00000119787.14	ATL2	7.9666	10.481	9.89935	0.000167114037822	0.246147097841	8.82959013913e-07
ENSG00000164114.19	MAP9	1.2485	3.93415	1.98345	2.63561841296e-52	1.01209203327e-10	1.22329733796e-07
ENSG00000132821.12	VSTM2L	0.2269	0.34345	0.08515	0.0969759669268	0.98097458886	0.0358452794839
ENSG00000149968.12	MMP3	0.0507	0.021	0.0171	0.285115826246	0.161744938711	0.160141949137
ENSG00000172232.10	AZU1	0.0828	0.01105	0.03605	2.72036746502e-08	0.0359444367357	0.136990324103
ENSG00000070950.10	RAD18	1.1159	1.10595	1.34885	0.772904093253	4.06885134626e-05	0.000275832829522
ENSG00000137522.18	RNF121	11.204	12.4144	12.15495	0.0488111489675	0.0407817387344	0.576848450033
ENSG00000106038.13	EVX1	0.0148	0.01235	0.0085	0.0582873077399	0.815517279113	0.0261942542503
ENSG00000126522.17	ASL	4.111	4.33815	3.27415	0.77788313098	1.17873371594e-09	3.49141822432e-05
ENSG00000118193.12	KIF14	0.2415	0.03535	0.2596	2.86939580807e-06	5.57696876049e-08	0.53395704017
ENSG00000149089.13	APIP	3.1044	4.53515	2.78105	7.43584663306e-12	7.91540402284e-08	0.822269774994
ENSG00000135829.17	DHX9	23.2396	38.4429	32.77875	1.24986407982e-47	4.91635283707e-12	7.7708382524e-36
ENSG00000162669.16	HFM1	0.0455	0.12255	0.0519	6.93905791134e-07	0.346722986056	0.0560043632254
ENSG00000008988.11	RPS20	197.8731	63.45745	82.3897	3.34452490277e-24	3.19673995288e-05	3.19858224923e-29
ENSG00000165914.15	TTC7B	1.3808	1.63805	1.65885	0.0108942635166	0.433869017664	0.00521861895542
ENSG00000139410.15	SDSL	10.0071	15.73845	5.14085	0.00943275588421	1.10309336626e-36	1.17602337757e-07
ENSG00000243477.6	NAT6	3.84	2.48185	2.0836	2.42231820648e-12	2.35674080259e-05	2.63362598465e-27
ENSG00000137962.13	ARHGAP29	7.4289	10.9401	12.5782	6.35496285453e-07	0.0130699852073	1.83729449776e-15
ENSG00000138193.16	PLCE1	1.5063	2.83745	1.7499	6.31712464584e-13	3.41036660366e-06	0.000411650459516
ENSG00000182557.8	SPNS3	1.7691	1.49485	1.02305	0.00288446160109	0.00653655270725	4.02969235329e-07
ENSG00000212993.5	POU5F1B	0.2132	0.14335	0.14455	1.37255143734e-05	0.0265656586837	0.00367921648122
ENSG00000152942.19	RAD17	7.4215	9.7103	9.05995	5.33702319686e-15	0.783357511466	1.77113934528e-11
ENSG00000186409.18	CCDC30	0.4308	0.5674	0.4872	0.0417703927788	0.581568018323	0.316082401072
ENSG00000082781.12	ITGB5	31.7194	35.10065	27.4388	0.291914504319	6.80542356488e-06	0.00265267710333
ENSG00000111676.15	ATN1	46.003	35.8842	36.9284	1.30759220649e-05	0.151672906822	6.28189819603e-10
ENSG00000074603.19	DPP8	4.2089	7.1897	6.9974	2.15400336063e-57	0.572265375917	1.29908961024e-40
ENSG00000158411.11	MITD1	5.7047	2.295	3.7032	1.31454359085e-27	1.20196116798e-17	6.51885626829e-15
ENSG00000172667.11	ZMAT3	4.2264	5.38045	6.3543	4.69911154411e-06	0.0167609567095	5.77497697378e-11
ENSG00000271605.6	MILR1	2.91	0.58205	2.7417	1.38061992477e-15	2.34120928331e-16	0.810296451048
